time_tag,K_index
2024-08-13T00:00:00Z,3
2024-08-13T03:00:00Z,3
2024-08-13T06:00:00Z,1
2024-08-13T09:00:00Z,1
2024-08-13T12:00:00Z,1
2024-08-13T15:00:00Z,2
2024-08-13T18:00:00Z,2
2024-08-13T21:00:00Z,3
2024-08-14T00:00:00Z,4
2024-08-14T03:00:00Z,3
2024-08-14T06:00:00Z,1
2024-08-14T09:00:00Z,2
2024-08-14T12:00:00Z,1
2024-08-14T15:00:00Z,1
2024-08-14T18:00:00Z,2
2024-08-14T21:00:00Z,3
2024-08-15T00:00:00Z,1
2024-08-15T03:00:00Z,1
2024-08-15T06:00:00Z,1
2024-08-15T09:00:00Z,1
2024-08-15T12:00:00Z,2
2024-08-15T15:00:00Z,1
2024-08-15T18:00:00Z,2
2024-08-15T21:00:00Z,2
2024-08-16T00:00:00Z,2
2024-08-16T03:00:00Z,3
2024-08-16T06:02:00Z,3
2024-08-16T09:02:00Z,2
2024-08-16T12:02:00Z,3
2024-08-16T15:02:00Z,1
2024-08-16T18:02:00Z,2
2024-08-16T21:02:00Z,1
2024-08-17T00:02:00Z,2
2024-08-17T03:02:00Z,1
2024-08-17T06:02:00Z,2
2024-08-17T09:02:00Z,1
2024-08-17T12:02:00Z,4
2024-08-17T15:02:00Z,7
2024-08-17T18:02:00Z,6
2024-08-17T21:02:00Z,5
2024-08-18T00:02:00Z,3
2024-08-18T03:02:00Z,3
2024-08-18T06:02:00Z,3
2024-08-18T09:02:00Z,2
2024-08-18T12:02:00Z,3
2024-08-18T15:02:00Z,3
2024-08-18T18:02:00Z,2
2024-08-18T21:02:00Z,1
2024-08-19T00:02:00Z,1
2024-08-19T03:02:00Z,1
2024-08-19T06:02:00Z,1
2024-08-19T09:02:00Z,1
2024-08-19T12:02:00Z,2
2024-08-19T15:02:00Z,1
2024-08-19T18:02:00Z,3
2024-08-19T21:02:00Z,3
2024-08-20T00:02:00Z,2
2024-08-20T03:02:00Z,1
2024-08-20T06:02:00Z,1
2024-08-20T09:02:00Z,1
2024-08-20T12:02:00Z,2
2024-08-20T15:02:00Z,1
2024-08-20T18:02:00Z,2
2024-08-20T21:02:00Z,1
2024-08-21T00:02:00Z,3
2024-08-21T03:02:00Z,2
2024-08-21T06:02:00Z,2
2024-08-21T09:02:00Z,1
